label,os,is_mobile,country,pageviews
0,Android,True,Chad,5
0,Android,True,Chad,7
0,Samsung,True,Chad,1
0,(not set),True,Chad,1
0,(not set),True,Chad,1
0,Android,True,Fiji,1
0,Windows,False,Fiji,1
0,Macintosh,False,Fiji,1
0,Macintosh,False,Fiji,1
0,Android,True,Guam,2
0,Android,True,Guam,9
0,Android,True,Guam,1
0,iOS,True,Iran,1
0,iOS,True,Iran,1
0,iOS,True,Iran,1
0,Windows,False,Iran,1
0,Windows,False,Iran,1
0,Windows,False,Iran,1
0,(not set),True,Iran,1
0,iOS,True,Iraq,1
0,iOS,True,Iraq,1
0,Linux,False,Iraq,1
0,Linux,False,Iraq,1
0,Linux,False,Iraq,1
0,Linux,False,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,9
0,Android,True,Iraq,1
0,Android,True,Iraq,8
0,Android,True,Iraq,1
0,Android,True,Iraq,2
0,Android,True,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,2
0,Android,True,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,6
0,Android,True,Iraq,2
0,Android,True,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,1
0,Android,True,Iraq,2
0,Android,True,Iraq,1
0,Android,True,Iraq,3
0,Windows,False,Iraq,1
0,Windows,False,Iraq,3
0,Windows,False,Iraq,1
0,Windows,False,Iraq,2
0,Windows,False,Iraq,3
0,Windows,False,Iraq,1
0,Windows,False,Iraq,2
0,Windows,False,Iraq,1
0,Windows,False,Iraq,1
0,Windows,False,Iraq,1
0,Windows,False,Iraq,2
0,Windows,False,Iraq,1
0,Windows,False,Iraq,1
0,Windows,False,Iraq,1
0,Windows,False,Iraq,1
0,Windows,False,Iraq,1
0,Windows,False,Iraq,2
0,Windows,False,Iraq,1
0,Windows,False,Iraq,1
0,Windows,False,Iraq,1
0,Windows,False,Iraq,1
0,Windows,False,Iraq,6
0,Windows,False,Iraq,1
0,Windows,False,Iraq,2
